this_is_practice_for_work,
,
,
,
<REF>,<G Code>
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000
FGH,D000
,E000
,F000
,G000
IJK,H000
LMN,A000
OPQ,D000
RST,A000
,B000
ABC,A000
,B000
CDE,C000